YMD,YM,MD,Product,Price,KRW_USD_EXR,Annual_Call_Rate,item_PPI,item_CPI,Food_Price_Index,Cereals_Price_Index,DayAvg_Temperature,DayDiff_Temperature,DayAvg_RelativeHumidity,DaySum_Rainfall,DayAvg_WindSpeed,DaySum_Sunshine,Warning_Count
2005-01-03,200501,103,마늘,20785.714285714286,1013.0,3.3300000000000005,49.58,58.27,65.4,60.5,4.4,12.8,35.2,0.0,2.6,1.6,0.0
2005-01-04,200501,104,마늘,20785.714285714286,1013.0,3.3300000000000005,49.58,58.27,65.4,60.5,-0.2,8.8,26.0,0.0,2.8,2.8,0.0
2005-01-05,200501,105,마늘,20928.571428571428,1013.0,3.3300000000000005,49.58,58.27,65.4,60.5,-1.4,11.2,33.4,0.0,0.6,3.2,0.0
2005-01-06,200501,106,마늘,21071.42857142857,1013.0,3.3300000000000005,49.58,58.27,65.4,60.5,2.8,7.8,31.2,1.2,1.2,2.6,0.0
2005-01-07,200501,107,마늘,21071.42857142857,1013.0,3.3300000000000005,49.58,58.27,65.4,60.5,2.0,7.6,28.4,0.0,2.8,2.8,0.0
2005-01-10,200501,110,마늘,21071.42857142857,1013.0,3.3300000000000005,49.58,58.27,65.4,60.5,-1.2,8.8,32.8,0.2,2.0,2.6,0.0
2005-01-11,200501,111,마늘,21071.42857142857,1013.0,3.3300000000000005,49.58,58.27,65.4,60.5,0.4,4.8,29.8,0.0,3.2,2.8,0.0
2005-01-12,200501,112,마늘,21071.42857142857,1013.0,3.3300000000000005,49.58,58.27,65.4,60.5,-0.8,4.8,30.0,0.0,2.4,3.0,0.0
2005-01-13,200501,113,마늘,21071.42857142857,1013.0,3.3300000000000005,49.58,58.27,65.4,60.5,-0.8,5.8,34.0,0.0,1.8,2.6,0.0
2005-01-14,200501,114,마늘,21071.42857142857,1013.0,3.3300000000000005,49.58,58.27,65.4,60.5,-0.4,9.6,34.2,0.0,1.2,2.2,0.0
2005-01-17,200501,117,마늘,21071.42857142857,1013.0,3.3300000000000005,49.58,58.27,65.4,60.5,0.4,11.4,37.6,0.0,0.8,2.8,0.0
2005-01-18,200501,118,마늘,21071.42857142857,1013.0,3.3300000000000005,49.58,58.27,65.4,60.5,1.6,11.2,38.4,0.2,1.0,3.6,0.0
2005-01-19,200501,119,마늘,21071.42857142857,1013.0,3.3300000000000005,49.58,58.27,65.4,60.5,1.2,4.6,29.0,0.0,3.2,2.8,0.0
2005-01-20,200501,120,마늘,21071.42857142857,1013.0,3.3300000000000005,49.58,58.27,65.4,60.5,-0.6,4.8,31.6,0.0,3.6,3.0,0.0
2005-01-21,200501,121,마늘,21071.42857142857,1013.0,3.3300000000000005,49.58,58.27,65.4,60.5,-1.6,9.4,30.4,0.2,1.2,3.4,0.0
2005-01-24,200501,124,마늘,21071.42857142857,1013.0,3.3300000000000005,49.58,58.27,65.4,60.5,2.4,7.0,38.0,0.0,1.0,0.2,0.0
2005-01-25,200501,125,마늘,21071.42857142857,1013.0,3.3300000000000005,49.58,58.27,65.4,60.5,0.6,6.2,45.6,3.8,0.6,0.0,0.0
2005-01-26,200501,126,마늘,21071.42857142857,1013.0,3.3300000000000005,49.58,58.27,65.4,60.5,2.0,7.2,45.0,0.0,0.8,1.4,0.0
2005-01-27,200501,127,마늘,21071.42857142857,1013.0,3.3300000000000005,49.58,58.27,65.4,60.5,2.4,9.2,37.6,0.0,0.6,2.2,0.0
2005-01-28,200501,128,마늘,21071.42857142857,1013.0,3.3300000000000005,49.58,58.27,65.4,60.5,2.0,14.4,36.4,0.0,0.4,4.6,0.0
2005-01-31,200501,131,마늘,21071.42857142857,1013.0,3.3300000000000005,49.58,58.27,65.4,60.5,-2.0,7.0,29.2,0.0,3.4,3.2,0.0
2005-02-01,200502,201,마늘,21071.42857142857,1013.0,3.3300000000000005,49.45,58.27,65.9,60.3,-5.4,5.2,33.4,0.0,5.0,3.2,0.0
2005-02-02,200502,202,마늘,21071.42857142857,1013.0,3.3300000000000005,49.45,58.27,65.9,60.3,-3.0,7.0,37.0,1.0,3.4,3.2,0.0
2005-02-03,200502,203,마늘,21071.42857142857,1013.0,3.3300000000000005,49.45,58.27,65.9,60.3,-1.0,7.8,34.2,1.0,2.0,3.4,0.0
2005-02-04,200502,204,마늘,21071.42857142857,1013.0,3.3300000000000005,49.45,58.27,65.9,60.3,1.2,9.0,28.0,0.0,1.0,4.4,0.0
2005-02-07,200502,207,마늘,21071.42857142857,1013.0,3.3300000000000005,49.45,58.27,65.9,60.3,4.0,7.0,44.0,1.0,0.6,0.2,0.0
2005-02-11,200502,211,마늘,21071.42857142857,1013.0,3.3300000000000005,49.45,58.27,65.9,60.3,-2.6,7.4,29.0,0.0,1.8,3.4,0.0
2005-02-14,200502,214,마늘,21214.285714285717,1013.0,3.3300000000000005,49.45,58.27,65.9,60.3,2.2,11.6,34.0,4.6,0.8,1.8,0.0
