,horizon,mse,rmse,mae,mape,mdape,smape,coverage
89,185 days,0.15493158406138702,0.39361349578156873,0.28591098092817446,0.03372751087536321,0.02529310020083428,0.03412770261228806,0.9259259259259259
82,174 days,0.23568079773346945,0.48546966716105905,0.3055093106336696,0.03573593256466302,0.019759941004072138,0.035660392117824534,0.9259259259259259
91,190 days,0.1663172613772902,0.40782013360952424,0.3070786033993324,0.0363667691098378,0.025517728917281185,0.03693971148764276,0.9629629629629629
97,201 days,0.15996067557606417,0.3999508414493763,0.3077834328770391,0.03622877562856054,0.02611347838679056,0.03660503490055354,0.9629629629629629
84,176 days,0.23601616267826642,0.48581494694818356,0.3090450311316084,0.03612672578034958,0.019759941004072138,0.03607480258433223,0.9259259259259259
83,175 days,0.23652930635496386,0.4863427868848924,0.3091998449289823,0.036139216744137156,0.019759941004072138,0.036083919520877465,0.9259259259259259
90,186 days,0.16901415212220977,0.4111133081307509,0.3092943887313994,0.03666261318270164,0.025517728917281185,0.03717947716773233,0.9444444444444444
86,180 days,0.23424613558015248,0.4839898093763468,0.30973814601030975,0.036254310182204014,0.02450928690863226,0.0361385158535553,0.9629629629629629
81,172 days,0.2374627153887019,0.48730146253495066,0.3131338665303976,0.036565262485678866,0.023901999149024477,0.03650047193653543,0.9259259259259259
87,181 days,0.23513488645559028,0.4849070905396108,0.31328416928596886,0.036764899870298545,0.02450928690863226,0.03663652606538343,0.9629629629629629
98,202 days,0.1636082940979419,0.4044852211118991,0.3141398961974866,0.03696752952158235,0.028575517987877126,0.03739220850691702,0.9259259259259259
85,177 days,0.23863178316362063,0.48849952217338005,0.31616403001211,0.0370118688166934,0.02450928690863226,0.036937270166442514,0.9259259259259259
99,205 days,0.16744669723061423,0.40920251371492605,0.32008723598986966,0.03767415517220415,0.03171742475208368,0.03805116609347883,0.9259259259259259
101,207 days,0.168261185306303,0.4101965203488481,0.32272120084103584,0.03791986359116297,0.03171742475208368,0.03830969953270406,0.9259259259259259
0,37 days,0.24872534232236346,0.49872371341491617,0.3242967353683078,0.03717232719815637,0.02978373447287527,0.03667731172826583,0.6296296296296297
17,67 days,0.15277846449664007,0.3908688584380189,0.3246469290741198,0.036324153209083866,0.0319602561305223,0.036843482500264264,0.6666666666666666
100,206 days,0.1687610992042488,0.4108054274279355,0.324906919712269,0.038171792661328655,0.03171742475208368,0.03856356981760925,0.9259259259259259
80,170 days,0.24420620063817028,0.4941722378262161,0.32565637543946313,0.03800399402585903,0.02450928690863226,0.03788983776580676,0.8888888888888888
4,43 days,0.26074787186878423,0.5106347734621921,0.3285170390868466,0.037311616408224516,0.02632473499600117,0.0368576800751314,0.6851851851851852
5,46 days,0.25909870630522064,0.5090173929299672,0.3285399893116899,0.03732505089113705,0.02632473499600117,0.03682778854332421,0.6666666666666666
18,68 days,0.1547743241805821,0.3934136807237162,0.3300601433229424,0.03698816992710222,0.0319602561305223,0.037522894123415126,0.6666666666666666
3,42 days,0.26334010515159595,0.5131667420552466,0.33043130844823876,0.03758069229863681,0.02632473499600117,0.037162742545104335,0.6666666666666666
96,200 days,0.1769461092935902,0.4206496277112226,0.3322125300222353,0.039058843371913225,0.03171742475208368,0.03938622374192979,0.9629629629629629
6,47 days,0.2612525056733571,0.5111286586304442,0.3338233481183146,0.03790740455791021,0.02978373447287527,0.03742421536840551,0.6666666666666666
88,182 days,0.25282787241495225,0.5028199204635316,0.3357995925456277,0.03959082279019341,0.02529310020083428,0.03932769644993915,0.9259259259259259
7,48 days,0.2641997576562209,0.5140036552946106,0.3396773307376132,0.03848562827939243,0.02978373447287527,0.03797915841107778,0.6851851851851852
92,191 days,0.21279354768664227,0.46129551015226916,0.3404235494555461,0.04028116796932174,0.02611347838679056,0.04121834198217817,0.9629629629629629
2,41 days,0.26872986104063595,0.5183916097320982,0.34308627718250373,0.03918188682099499,0.030074407483522993,0.038809061139084194,0.6296296296296297
1,38 days,0.26902305376838326,0.5186743234134338,0.3435711596118726,0.03931201130507,0.030074407483522993,0.03894380729750222,0.6296296296296297
